Object,N_HF,N_H2,log_N_H2,log_N_HF,HF_limit,H2_limit,redshift,reference
W51 0-10 km/s,1.45000E+13,1.05000E+21,2.10212E+01,1.31614E+01,none,none,0.0,https://arxiv.org/abs/1007.2148
W51 10-20 km/s,1.80000E+12,1.40000E+20,2.01461E+01,1.22553E+01,none,none,0.0,https://arxiv.org/abs/1007.2148
W51 20-30 km/s,8.00000E+11,7.00000E+19,1.98451E+01,1.19031E+01,none,upper,0.0,https://arxiv.org/abs/1007.2148
W51 42-47 km/s,8.00000E+12,5.00000E+20,2.06990E+01,1.29031E+01,none,none,0.0,https://arxiv.org/abs/1007.2148
W49N 30-50 km/s,5.50000E+13,3.70000E+21,2.15682E+01,1.37404E+01,none,none,0.0,https://arxiv.org/abs/1007.2148
W49N 50-78 km/s,6.90000E+13,6.60000E+21,2.18195E+01,1.38388E+01,none,none,0.0,https://arxiv.org/abs/1007.2148
W49N 67-71 km/s,5.60000E+12,4.40000E+20,2.06435E+01,1.27482E+01,none,none,0.0,https://arxiv.org/abs/1007.2148
NGC 6334 I -3 km/s,2.40000E+13,1.80000E+21,2.12553E+01,1.33802E+01,none,none,0.0,https://arxiv.org/abs/1207.0539
NGC 6334 I 0 km/s,1.50000E+13,6.00000E+20,2.07782E+01,1.31761E+01,none,none,0.0,https://arxiv.org/abs/1207.0539
NGC 6334 I 6.5 km/s,1.40000E+13,8.60000E+20,2.09345E+01,1.31461E+01,lower,none,0.0,https://arxiv.org/abs/1207.0539
NGC 6334 I 8.0 km/s,4.00000E+12,6.00000E+20,2.07782E+01,1.26021E+01,none,none,0.0,https://arxiv.org/abs/1207.0539
HD 154368,1.66000E+13,1.44000E+21,2.11584E+01,1.32201E+01,none,none,0.0,https://arxiv.org/abs/1301.1953
Elias 29,1.80000E+14,2.60000E+22,2.24150E+01,1.42553E+01,none,none,0.0,https://arxiv.org/abs/1301.1953
AFGL 2136 LoS,4.91000E+14,5.60000E+22,2.27482E+01,1.46911E+01,none,none,0.0,https://arxiv.org/abs/1301.1953
AFGL 2136 warm,1.62000E+15,7.65000E+22,2.28837E+01,1.52095E+01,none,none,0.0,https://arxiv.org/abs/1301.1953
AFGL 2136 cold,1.50000E+14,3.60000E+22,2.25563E+01,1.41761E+01,none,none,0.0,https://arxiv.org/abs/1301.1953
Sgr B2 M -115 to -60,9.90000E+13,5.70000E+21,2.17559E+01,1.39956E+01,none,none,0.0,https://arxiv.org/abs/1108.3104
Sgr B2 M -53 to -49,1.10000E+13,6.80000E+20,2.08325E+01,1.30414E+01,none,none,0.0,https://arxiv.org/abs/1108.3104
Sgr B2 M -35 to -28,1.30000E+13,9.30000E+20,2.09685E+01,1.31139E+01,none,none,0.0,https://arxiv.org/abs/1108.3104
Sgr B2 M -10 to -5,1.01000E+13,9.60000E+20,2.09823E+01,1.30043E+01,none,none,0.0,https://arxiv.org/abs/1108.3104
Sgr B2 M 26 to 40,1.70000E+13,1.50000E+21,2.11761E+01,1.32304E+01,none,none,0.0,https://arxiv.org/abs/1108.3104
Orion KL,2.90000E+13,9.00000E+22,2.29542E+01,1.34624E+01,none,none,0.0,https://arxiv.org/abs/1007.2149
Cloverleaf z=2.56,4.00000E+14,2.30000E+23,2.33617E+01,1.46021E+01,lower,none,2.56,https://arxiv.org/abs/1201.4882
Chi Oph,9.30000E+12,4.30000E+20,2.06335E+01,1.29685E+01,upper,none,0.0,https://arxiv.org/abs/1301.1953
HD 149404,1.99000E+13,6.20000E+20,2.07924E+01,1.32989E+01,upper,none,0.0,https://arxiv.org/abs/1301.1953
HD 152236,2.02000E+13,5.30000E+20,2.07243E+01,1.33054E+01,upper,none,0.0,https://arxiv.org/abs/1301.1953
NGP-190387 (Franco2021),2.60000E+15,1.30000E+24,2.41139E+01,1.54150E+01,lower,none,4.42,https://arxiv.org/abs/2111.03074
NGC253,2.41000E+14,6.69444E+21,2.18257E+01,1.43820E+01,none,none,0.0,Monje+14
NGC4945,2.77000E+14,7.69444E+21,2.18862E+01,1.44425E+01,none,none,0.0,Monje+14
BR1202-0725,1.00000E+15,1.00000E+24,2.40000E+01,1.50000E+01,none,lower,4.7,Lehnert+20
Orion Bar,8.00000E+14,8.00000E+22,2.29031E+01,1.49031E+01,none,none,0.0,Kavak+19
PKS1830-211,3.40000E+14,2.00000E+22,2.23010E+01,1.45315E+01,lower,none,0.89,Kawaguchi+19
W31C,1.60000E+14,1.20000E+22,2.20792E+01,1.42041E+01,none,none,0,Neufeld+10
NGC7130,1.00000E+12,1.00000E+20,2.00000E+01,1.20000E+01,none,none,0.016,Pereira-Santaella+13
M82,6.61000E+13,1.84000E+21,2.12648E+01,1.38202E+01,none,none,0.0,Kamenetzky+12